id,title,sentence,ARG0,PRED,ARG1,MOD-TIME,TAG,,,,,,,,,,,TAG MATCH,ARG0 MATCH,PRED MATCH,ARG1 MATCH
40,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Impor,Nominal,"285,21 juta dolar AS",januari-Agustus 2013,CORRECT,,40,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Impor,Nominal,"285,21 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
41,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",,,tiga,,INC-NOT-ATTR,,41,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",,,tiga,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
42,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Malaysia,Nominal,"77,89 juta dolar",,CORRECT,,42,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Impor Malaysia,Nominal,"77,89 juta dolar",,CORRECT,,TRUE,FALSE,TRUE,TRUE
43,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Malaysia,Persentase,"27,31 persen",,CORRECT,,43,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Impor Malaysia,Persentase,"27,31 persen",,CORRECT,,TRUE,FALSE,TRUE,TRUE
44,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Impor Cina,Nominal,"12,43 juta dolar AS",,CORRECT,,44,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Impor Cina,Nominal,"12,43 juta dolar AS",,CORRECT,,TRUE,TRUE,TRUE,TRUE
45,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Impor Cina,Persentase,"4,36 persen",,CORRECT,,45,Sulawesi Tenggara,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Impor Cina,Persentase,"4,36 persen",,CORRECT,,TRUE,TRUE,TRUE,TRUE
46,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Upah minimum sektoral provinsi 2013 bidang pertambangan menjadi Rp1.192.720 atau naik 10,05%.",,,2013,,INC-TEMPORAL,,46,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Upah minimum sektoral provinsi 2013 bidang pertambangan menjadi Rp1.192.720 atau naik 10,05%.",,,2013,,INC-TEMPORAL,,TRUE,TRUE,TRUE,TRUE
47,Sulawesi Tenggara,UMP sektor bangunan sebesar Rp1.237.730 atau naik 9% dibanding tahun 2012.,UMP sektor bangunan,Presentase,9 %,,CORRECT,,47,Sulawesi Tenggara,UMP sektor bangunan sebesar Rp1.237.730 atau naik 9% dibanding tahun 2012.,UMP sektor bangunan,Persentase kenaikan,9 %,,CORRECT,,TRUE,TRUE,FALSE,TRUE
48,Amsterdam,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Batas kota,Jumlah populasi,980.876,,CORRECT,,48,Amsterdam,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Batas kota,Jumlah populasi,980.876,,CORRECT,,TRUE,TRUE,TRUE,TRUE
49,Amsterdam,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Perkotaan,Jumlah populasi,1.209.419,,CORRECT,,49,Amsterdam,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Perkotaan,Jumlah populasi,1.209.419,,CORRECT,,TRUE,TRUE,TRUE,TRUE
50,Amsterdam,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Metropolitan,Jumlah populasi,2.158.592,,CORRECT,,50,Amsterdam,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Metropolitan,Jumlah populasi,2.158.592,,CORRECT,,TRUE,TRUE,TRUE,TRUE
51,Amsterdam,"Wilayah Amsterdam mencakup bagian utara Randstad, salah satu konurbasi terbesar di Eropa dengan jumlah penduduk sekitar 7 juta jiwa.","bagian utara Randstad,",Jumlah populasi,sekitar 7 juta,,CORRECT,,51,Amsterdam,"Wilayah Amsterdam mencakup bagian utara Randstad, salah satu konurbasi terbesar di Eropa dengan jumlah penduduk sekitar 7 juta jiwa.",Randstad,Jumlah populasi,sekitar 7 juta,,CORRECT,,TRUE,FALSE,TRUE,TRUE
52,Amsterdam,"Banyak perusahaan besar Belanda memiliki kantor pusat di sana, dan 7 dari 500 perusahaan teratas dunia, termasuk Philips dan ING, berpusat di kota ini.",,,7,,INC-NOT-ATTR,,52,Amsterdam,"Banyak perusahaan besar Belanda memiliki kantor pusat di sana, dan 7 dari 500 perusahaan teratas dunia, termasuk Philips dan ING, berpusat di kota ini.",,,7,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
53,Amsterdam,"Banyak perusahaan besar Belanda memiliki kantor pusat di sana, dan 7 dari 500 perusahaan teratas dunia, termasuk Philips dan ING, berpusat di kota ini.",,Jumlah perusahaan,500,,INC-NOT-ATTR,,53,Amsterdam,"Banyak perusahaan besar Belanda memiliki kantor pusat di sana, dan 7 dari 500 perusahaan teratas dunia, termasuk Philips dan ING, berpusat di kota ini.",,Jumlah perusahaan,500,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
54,Amsterdam,"Tempat-tempat wisata utama Amsterdam, termasuk kanal-kanal bersejarahnya, Rijksmuseum, Van Gogh Museum, Stedelijk Museum, Hermitage Amsterdam, Anne Frank House, Amsterdam Museum, distrik lampu merah, dan kedai kopi cannabisnya menarik lebih dari 3,66 juta wisatawan mancanegara setiap tahunnya.",Tempat-tempat wisata utama Amsterdam,Jumlah wisatawan mancanegara,"lebih dari 3,66 juta",,CORRECT,,54,Amsterdam,"Tempat-tempat wisata utama Amsterdam, termasuk kanal-kanal bersejarahnya, Rijksmuseum, Van Gogh Museum, Stedelijk Museum, Hermitage Amsterdam, Anne Frank House, Amsterdam Museum, distrik lampu merah, dan kedai kopi cannabisnya menarik lebih dari 3,66 juta wisatawan mancanegara setiap tahunnya.",Tempat-tempat wisata utama Amsterdam,Jumlah wisatawan mancanegara,"lebih dari 3,66 juta",,CORRECT,,TRUE,TRUE,TRUE,TRUE
55,Amsterdam,Amsterdam berada sekitar 2 meter di bawah permukaan laut.,Amsterdam,Kedalaman,sekitar 2 meter,,CORRECT,,55,Amsterdam,Amsterdam berada sekitar 2 meter di bawah permukaan laut.,Amsterdam,Kedalaman,sekitar 2 meter,,CORRECT,,TRUE,TRUE,TRUE,TRUE
56,Amsterdam,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,luas,"219,4 km",,CORRECT,,56,Amsterdam,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,Luas,"219,4 km",,CORRECT,,TRUE,TRUE,TRUE,TRUE
57,Amsterdam,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,Jumlah populasi,4.457,,CORRECT,,57,Amsterdam,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,Jumlah populasi,4.457,,CORRECT,,TRUE,TRUE,TRUE,TRUE
58,Amsterdam,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,Jumlah rumah,2.275,,CORRECT,,58,Amsterdam,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,Jumlah rumah,2.275,,CORRECT,,TRUE,TRUE,TRUE,TRUE
59,Amsterdam,Taman dan cagar alam membentuk 12% dari luas daratan Amsterdam.,Taman dan cagar alam,Persentase,12 %,,CORRECT,,59,Amsterdam,Taman dan cagar alam membentuk 12% dari luas daratan Amsterdam.,Taman dan cagar alam,Persentase,12 %,,CORRECT,,TRUE,TRUE,TRUE,TRUE
60,Amsterdam,"Amsterdam memiliki kanal sepanjang lebih dari 100 kilometer (60 mil), yang sebagian besar dapat dilewati oleh perahu.",Kanal,Panjang,lebih dari 100 kilometer,,CORRECT,,60,Amsterdam,"Amsterdam memiliki kanal sepanjang lebih dari 100 kilometer (60 mil), yang sebagian besar dapat dilewati oleh perahu.",Kanal,Panjang,lebih dari 100 kilometer,,CORRECT,,TRUE,TRUE,TRUE,TRUE
60,Amsterdam,"Amsterdam memiliki kanal sepanjang lebih dari 100 kilometer (60 mil), yang sebagian besar dapat dilewati oleh perahu.",Kanal,Panjang,60 mil,,CORRECT,,60,Amsterdam,"Amsterdam memiliki kanal sepanjang lebih dari 100 kilometer (60 mil), yang sebagian besar dapat dilewati oleh perahu.",Kanal,Panjang,60 mil,,CORRECT,,TRUE,TRUE,TRUE,TRUE
61,Amsterdam,"Amsterdam sering dibandingkan dengan Venesia, karena pembagiannya menjadi sekitar 90 pulau, yang dihubungkan oleh lebih dari 1.200 jembatan.",,Jumlah pulau,sekitar 90,,INC-NOT-ATTR,,61,Amsterdam,"Amsterdam sering dibandingkan dengan Venesia, karena pembagiannya menjadi sekitar 90 pulau, yang dihubungkan oleh lebih dari 1.200 jembatan.",,Jumlah pulau,sekitar 90,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
62,Amsterdam,"Amsterdam sering dibandingkan dengan Venesia, karena pembagiannya menjadi sekitar 90 pulau, yang dihubungkan oleh lebih dari 1.200 jembatan.",,Jumlah jembatan,lebih dari 1.200 jembatan,,INC-NOT-ATTR,,62,Amsterdam,"Amsterdam sering dibandingkan dengan Venesia, karena pembagiannya menjadi sekitar 90 pulau, yang dihubungkan oleh lebih dari 1.200 jembatan.",,Jumlah jembatan,lebih dari 1.200 jembatan,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
63,Amsterdam,"Bahkan, karena Amsterdam dikelilingi di tiga sisi oleh perairan yang besar, serta memiliki efek pulau bahang yang signifikan, suhu malam hari jarang jatuh di bawah -5 °C, sementara itu suhu malam hari bisa dengan mudah mencapai −12 °C di Hilversum, 25 kilometer ke tenggara.",Amsterdam,Jumlah sisi,tiga,,CORRECT,,63,Amsterdam,"Bahkan, karena Amsterdam dikelilingi di tiga sisi oleh perairan yang besar, serta memiliki efek pulau bahang yang signifikan, suhu malam hari jarang jatuh di bawah -5 °C, sementara itu suhu malam hari bisa dengan mudah mencapai −12 °C di Hilversum, 25 kilometer ke tenggara.",Amsterdam,Jumlah sisi,tiga,,CORRECT,,TRUE,TRUE,TRUE,TRUE
64,Amsterdam,"Bahkan, karena Amsterdam dikelilingi di tiga sisi oleh perairan yang besar, serta memiliki efek pulau bahang yang signifikan, suhu malam hari jarang jatuh di bawah -5 °C, sementara itu suhu malam hari bisa dengan mudah mencapai −12 °C di Hilversum, 25 kilometer ke tenggara.",,Jarak,25 kilometer,,INC-NOT-ATTR,,64,Amsterdam,"Bahkan, karena Amsterdam dikelilingi di tiga sisi oleh perairan yang besar, serta memiliki efek pulau bahang yang signifikan, suhu malam hari jarang jatuh di bawah -5 °C, sementara itu suhu malam hari bisa dengan mudah mencapai −12 °C di Hilversum, 25 kilometer ke tenggara.",,Jarak,25 kilometer,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
65,Amsterdam,"Suhu tinggi harian rata-rata pada bulan Agustus adalah 22,1 °C, dan 30 °C atau lebih tinggi hanya diukur rata-rata setiap 2,5 hari, menempatkan Amsterdam di Zona Panas AHS 2.",,Suhu,30°C,bulan Agustus,INC-NOT-ATTR,,65,Amsterdam,"Suhu tinggi harian rata-rata pada bulan Agustus adalah 22,1 °C, dan 30 °C atau lebih tinggi hanya diukur rata-rata setiap 2,5 hari, menempatkan Amsterdam di Zona Panas AHS 2.",,Suhu,30°C,Agustus,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
66,Amsterdam,"Suhu tinggi harian rata-rata pada bulan Agustus adalah 22,1 °C, dan 30 °C atau lebih tinggi hanya diukur rata-rata setiap 2,5 hari, menempatkan Amsterdam di Zona Panas AHS 2.",,,2,,INC-ENT-NAME,,66,Amsterdam,"Suhu tinggi harian rata-rata pada bulan Agustus adalah 22,1 °C, dan 30 °C atau lebih tinggi hanya diukur rata-rata setiap 2,5 hari, menempatkan Amsterdam di Zona Panas AHS 2.",,,2,,INC-ENT-NAME,,TRUE,TRUE,TRUE,TRUE
67,Amsterdam,"Hari-hari dengan presipitasi lebih dari 1 milimeter sering terjadi, rata-rata 133 hari per tahun.",,Tingkat presipitasi,lebih dari 1 milimeter,,INC-NOT-ATTR,,67,Amsterdam,"Hari-hari dengan presipitasi lebih dari 1 milimeter sering terjadi, rata-rata 133 hari per tahun.",,Tingkat presipitasi,lebih dari 1 milimeter,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
68,Amsterdam,"Hari-hari dengan presipitasi lebih dari 1 milimeter sering terjadi, rata-rata 133 hari per tahun.",,Jumlah hari,133 hari,,INC-NOT-ATTR,,68,Amsterdam,"Hari-hari dengan presipitasi lebih dari 1 milimeter sering terjadi, rata-rata 133 hari per tahun.",,Jumlah hari,133 hari,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
69,Amsterdam,"Presipitasi tahunan rata-rata di Amsterdam adalah 838 milimeter, lebih dari yang diukur di Bandara Schiphol Amsterdam.",Amsterdam,Tingkat presipitasi,838 milimeter,,CORRECT,,69,Amsterdam,"Presipitasi tahunan rata-rata di Amsterdam adalah 838 milimeter, lebih dari yang diukur di Bandara Schiphol Amsterdam.",Amsterdam,Tingkat presipitasi,838 milimeter,,CORRECT,,TRUE,TRUE,TRUE,TRUE
70,Amsterdam,"5 firma hukum terbesar di Belanda, termasuk Boston Consulting Group dan Accenture, juga World Trade Center Amsterdam juga berlokasi di Zuidas.",,,5,,INC-NOT-ATTR,,70,Amsterdam,"5 firma hukum terbesar di Belanda, termasuk Boston Consulting Group dan Accenture, juga World Trade Center Amsterdam juga berlokasi di Zuidas.",,,5,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
71,Amsterdam,"Pada tahun 2014, Pelabuhan Amsterdam mengangkut 97,4 juta ton kargo, sebagian besarnya adalah bulk cargo.",Pelabuhan Amsterdam,Berat kargo,"97,4 juta ton",tahun 2014,CORRECT,,71,Amsterdam,"Pada tahun 2014, Pelabuhan Amsterdam mengangkut 97,4 juta ton kargo, sebagian besarnya adalah bulk cargo.",Pelabuhan Amsterdam,Berat kargo,"97,4 juta ton",2014,CORRECT,,TRUE,TRUE,TRUE,TRUE
72,Amsterdam,Amsterdam memiliki pelabuhan khusus cruise terbesar di Belanda dengan lebih dari 150 kapal cruise tiap tahunnya.,Pelabuhan khusus cruise,Jumlah kapal,lebih dari 150,,CORRECT,,72,Amsterdam,Amsterdam memiliki pelabuhan khusus cruise terbesar di Belanda dengan lebih dari 150 kapal cruise tiap tahunnya.,Pelabuhan khusus cruise,Jumlah kapal,lebih dari 150,,CORRECT,,TRUE,TRUE,TRUE,TRUE
73,Amsterdam,"Amsterdam adalah salah satu destinasi wisata paling populer di Eropa dengan 4,63 juta wisatawan mancanegara setiap tahunnya, ini belum termasuk 16 juta ""pengunjung sehari"" yang datang ke kota ini tiap tahunnya.",Kota ini,Jumlah wisatawan,16 juta,,CORRECT,,73,Amsterdam,"Amsterdam adalah salah satu destinasi wisata paling populer di Eropa dengan 4,63 juta wisatawan mancanegara setiap tahunnya, ini belum termasuk 16 juta ""pengunjung sehari"" yang datang ke kota ini tiap tahunnya.",Amsterdam,Jumlah wisatawan,16 juta,,CORRECT,,TRUE,FALSE,TRUE,TRUE
74,Amsterdam,Dua per tiga hotel terletak di pusat kota.,Pusat kota,Jumlah hotel,Dua per tiga,,CORRECT,,74,Amsterdam,Dua per tiga hotel terletak di pusat kota.,Pusat kota,Jumlah hotel,Dua per tiga,,CORRECT,,TRUE,TRUE,TRUE,TRUE
75,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,,,4,,INC-NOT-ATTR,,75,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,,,4,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
76,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,,,5,,INC-NOT-ATTR,,76,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,,,5,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
77,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,Hotel dengan 4 atau 5 bintang,Persentase,42 %,,CORRECT,,77,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,Hotel dengan 4 atau 5 bintang,Persentase,42 %,,CORRECT,,TRUE,TRUE,TRUE,TRUE
78,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,Hotel dengan 4 atau 5 bintang,Persentase,41 %,,CORRECT,,78,Amsterdam,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,Hotel dengan 4 atau 5 bintang,Persentase,41 %,,CORRECT,,TRUE,TRUE,TRUE,TRUE
79,Amsterdam,"Tingkat keterisian kamar adalah 78% tahun 2006, sedangkan tahun 2005 70%.",Keterisian kamar,Persentase,78 %,Tahun 2006,CORRECT,,79,Amsterdam,"Tingkat keterisian kamar adalah 78% tahun 2006, sedangkan tahun 2005 70%.",Keterisian kamar,Persentase,78 %,2006,CORRECT,,TRUE,TRUE,TRUE,TRUE
80,Amsterdam,"Tingkat keterisian kamar adalah 78% tahun 2006, sedangkan tahun 2005 70%.",Keterisian kamar,Persentase,70 %,Tahun 2005,CORRECT,,80,Amsterdam,"Tingkat keterisian kamar adalah 78% tahun 2006, sedangkan tahun 2005 70%.",Keterisian kamar,Persentase,70 %,2005,CORRECT,,TRUE,TRUE,TRUE,TRUE
81,Amsterdam,"Sedangkan wisatawan non-Eropa terbesar dari Amerika Serikat, menyumbang 14% total.",Wisatawan Amerika Serikat,Persentase,14 %,,CORRECT,,81,Amsterdam,"Sedangkan wisatawan non-Eropa terbesar dari Amerika Serikat, menyumbang 14% total.",Wisatawan non-Eropa terbesar dari Amerika Serikat,Persentase,14 %,,CORRECT,,TRUE,FALSE,TRUE,TRUE
82,Amsterdam,"Merek fashion terkenal seperti G-star, Gsus, BlueBlood, PICHICHI, Iris van Herpen, MUD Jeans, 10 feet dan Warmenhoven & Venderbos, juga perancang busana seperti Mart Visser, Viktor & Rolf, Sheila de Vries, Marlies Dekkers dan Frans Molenaar tinggal di Amsterdam.",,,10 feet,,INC-ENT-NAME,,82,Amsterdam,"Merek fashion terkenal seperti G-star, Gsus, BlueBlood, PICHICHI, Iris van Herpen, MUD Jeans, 10 feet dan Warmenhoven & Venderbos, juga perancang busana seperti Mart Visser, Viktor & Rolf, Sheila de Vries, Marlies Dekkers dan Frans Molenaar tinggal di Amsterdam.",,,10 feet,,INC-ENT-NAME,,TRUE,TRUE,TRUE,TRUE
83,Amsterdam,"Pada tahun 1932, Amsterdam ditunjuk sebagai penghubung utama untuk sistem jalan tol di Belanda, dengan jalan no 1-8 direncanakan berawal dari sini.",,,43838,,INC-NOT-ATTR,,83,Amsterdam,"Pada tahun 1932, Amsterdam ditunjuk sebagai penghubung utama untuk sistem jalan tol di Belanda, dengan jalan no 1-8 direncanakan berawal dari sini.",,,43838,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
84,Amsterdam,"Biaya parkir sangat mahal, banyak jalan ditutup untuk mobil atau hanya satu arah.",,,satu,,INC-NOT-ATTR,,84,Amsterdam,"Biaya parkir sangat mahal, banyak jalan ditutup untuk mobil atau hanya satu arah.",,,satu,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
85,Amsterdam,Amsterdam dilayani oleh 10 stasiun Nederlandse Spoorwegen (Kereta api Belanda).,Amsterdam,Jumlah stasiun,10,,CORRECT,,85,Amsterdam,Amsterdam dilayani oleh 10 stasiun Nederlandse Spoorwegen (Kereta api Belanda).,Nederlandse Spoorwegen,Jumlah stasiun,10,,CORRECT,,TRUE,FALSE,TRUE,TRUE
86,Amsterdam,Bandara Schiphol Amsterdam dapat dicapai kurang dari 20 menit dengan kereta dari stasiun kereta Amsterdam Centraal.,,,kurang dari 20 menit,,INC-TEMPORAL,,86,Amsterdam,Bandara Schiphol Amsterdam dapat dicapai kurang dari 20 menit dengan kereta dari stasiun kereta Amsterdam Centraal.,,,kurang dari 20 menit,,INC-TEMPORAL,,TRUE,TRUE,TRUE,TRUE
87,Amsterdam,"Lebih dari 50 juta penumpang per tahun menggunakannya dan menjadi penghubung utama bagi 5 maskapai yaitu KLM, transavia.com, Martinair, Arkefly dan easyJet.",,Jumlah maskapai,5,,INC-NOT-ATTR,,87,Amsterdam,"Lebih dari 50 juta penumpang per tahun menggunakannya dan menjadi penghubung utama bagi 5 maskapai yaitu KLM, transavia.com, Martinair, Arkefly dan easyJet.",,Jumlah maskapai,5,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
88,Amsterdam,Namun pencurian sepeda juga marak - tahun 2011 ada 83.000 sepeda dicuri di Amsterdam.,,Jumlah sepeda,83000,,INC-NOT-ATTR,,88,Amsterdam,Namun pencurian sepeda juga marak - tahun 2011 ada 83.000 sepeda dicuri di Amsterdam.,,Jumlah sepeda,83000,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
89,Menara Pisa,"Kelebaran dinding di bawahnya mencapai 4,09 m dan di puncak 2,48 m. Bobotnya diperkirakan mencapai 14.500 ton.",,Berat,14.500 ton,,INC-NOT-ATTR,,89,Menara Pisa,"Kelebaran dinding di bawahnya mencapai 4,09 m dan di puncak 2,48 m. Bobotnya diperkirakan mencapai 14.500 ton.",,Berat,14.500 ton,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
90,Menara Pisa,Menara Pisa memiliki 294 anak tangga.,Menara Pisa,Jumlah anak tangga,294,,CORRECT,,90,Menara Pisa,Menara Pisa memiliki 294 anak tangga.,Menara Pisa,Jumlah anak tangga,294,,CORRECT,,TRUE,TRUE,TRUE,TRUE
91,Menara Pisa,Pembangunan Menara Pisa dilakukan dalam tiga tahap dalam jangka waktu 200 tahun.,Pembangunan Menara Pisa,Jumlah tahap,tiga,,CORRECT,,91,Menara Pisa,Pembangunan Menara Pisa dilakukan dalam tiga tahap dalam jangka waktu 200 tahun.,Pembangunan Menara Pisa,Jumlah tahap,tiga,,CORRECT,,TRUE,TRUE,TRUE,TRUE
92,Menara Pisa,Pembangunan Menara Pisa dilakukan dalam tiga tahap dalam jangka waktu 200 tahun.,,,200 tahun,,INC-TEMPORAL,,92,Menara Pisa,Pembangunan Menara Pisa dilakukan dalam tiga tahap dalam jangka waktu 200 tahun.,,,200 tahun,,INC-TEMPORAL,,TRUE,TRUE,TRUE,TRUE
93,Menara Pisa,"Sebenarnya, Menara Miring tersebut seharusnya berdiri tegak setinggi 55 meter, tetapi dikarenakan Menara Miring Pisa dibangun di atas tanah yang tidak stabil, Menara tersebut akhirnya miring dari garis lurus sepanjang 5 meter.",Menara Miring,Tinggi,55 meter,,CORRECT,,93,Menara Pisa,"Sebenarnya, Menara Miring tersebut seharusnya berdiri tegak setinggi 55 meter, tetapi dikarenakan Menara Miring Pisa dibangun di atas tanah yang tidak stabil, Menara tersebut akhirnya miring dari garis lurus sepanjang 5 meter.",Menara Miring,Tinggi,55 meter,,CORRECT,,TRUE,TRUE,TRUE,TRUE
94,Menara Pisa,"Sebenarnya, Menara Miring tersebut seharusnya berdiri tegak setinggi 55 meter, tetapi dikarenakan Menara Miring Pisa dibangun di atas tanah yang tidak stabil, Menara tersebut akhirnya miring dari garis lurus sepanjang 5 meter.",Menara tersebut,Panjang,5 meter,,CORRECT,,94,Menara Pisa,"Sebenarnya, Menara Miring tersebut seharusnya berdiri tegak setinggi 55 meter, tetapi dikarenakan Menara Miring Pisa dibangun di atas tanah yang tidak stabil, Menara tersebut akhirnya miring dari garis lurus sepanjang 5 meter.",Menara Miring Pisa,Panjang,5 meter,,CORRECT,,TRUE,FALSE,TRUE,TRUE
