source,sentence,ARG0,PRED,ARG1,TAG,NUM_CATEGORY
Wikipedia,"Dalam membantu keberlangsungan pendidikan Bahasa Sunda di Jawa Barat, pemerintah daerah Jawa Barat bekerjasama dengan Universitas Padjadjaran dan Yayasan Kebudayaan Rancage menerbitkan ""Kamus Utama"", yaitu kamus bahasa Sunda terlengkap yang terdiri dari 6 jilid, 10.000 halaman dan memuat 150.000 entri.",pemerintah daerah Jawa Barat,jumlah halaman,10,INCORRECT,CRD
Wikipedia,"Dalam membantu keberlangsungan pendidikan Bahasa Sunda di Jawa Barat, pemerintah daerah Jawa Barat bekerjasama dengan Universitas Padjadjaran dan Yayasan Kebudayaan Rancage menerbitkan ""Kamus Utama"", yaitu kamus bahasa Sunda terlengkap yang terdiri dari 6 jilid, 10.000 halaman dan memuat 150.000 entri.",pemerintah daerah Jawa Barat,jumlah entri,150,INCORRECT,CRD
Wikipedia,"Pada sensus penduduk 2010 jumlah penduduk provinsi Jawa Barat adalah sebanyak 46.497.175 jiwa sementara jumlah suku Cirebon pada sensus penduduk 2010 dengan survei awal pada wilayah inti suku Cirebon yaitu di kabupaten Cirebon, kota Cirebon dan kabupaten Indramayu adalah sebesar 1.812.842 jiwa, data tersebut menjelaskan bahwa jumlah suku Cirebon ada sekitar 4-5% dari total populasi provinsi Jawa Barat, secara budaya dan bahasa, suku Cirebon masih mewarisi kedekatan-kesekatan tersebut dengan suku Sunda, namun keberagaman budaya dan bahasa yang ada di Jawa Barat sempat diuji ketika Kongres Jawa Barat yang ketiga diadakan.",jumlah penduduk provinsi Jawa Barat,jumlah jiwa sementara jumlah suku Cirebon pada sensus penduduk,46.497.175,INCORRECT,CRD
Wikipedia,"Pada sensus penduduk 2010 jumlah penduduk provinsi Jawa Barat adalah sebanyak 46.497.175 jiwa sementara jumlah suku Cirebon pada sensus penduduk 2010 dengan survei awal pada wilayah inti suku Cirebon yaitu di kabupaten Cirebon, kota Cirebon dan kabupaten Indramayu adalah sebesar 1.812.842 jiwa, data tersebut menjelaskan bahwa jumlah suku Cirebon ada sekitar 4-5% dari total populasi provinsi Jawa Barat, secara budaya dan bahasa, suku Cirebon masih mewarisi kedekatan-kesekatan tersebut dengan suku Sunda, namun keberagaman budaya dan bahasa yang ada di Jawa Barat sempat diuji ketika Kongres Jawa Barat yang ketiga diadakan.",jumlah penduduk provinsi Jawa Barat,jumlah jiwa,1.812.842,INCORRECT,CRD
Wikipedia,"Pada sensus penduduk 2010 jumlah penduduk provinsi Jawa Barat adalah sebanyak 46.497.175 jiwa sementara jumlah suku Cirebon pada sensus penduduk 2010 dengan survei awal pada wilayah inti suku Cirebon yaitu di kabupaten Cirebon, kota Cirebon dan kabupaten Indramayu adalah sebesar 1.812.842 jiwa, data tersebut menjelaskan bahwa jumlah suku Cirebon ada sekitar 4-5% dari total populasi provinsi Jawa Barat, secara budaya dan bahasa, suku Cirebon masih mewarisi kedekatan-kesekatan tersebut dengan suku Sunda, namun keberagaman budaya dan bahasa yang ada di Jawa Barat sempat diuji ketika Kongres Jawa Barat yang ketiga diadakan.",jumlah suku Cirebon,persentase sensus penduduk,sekitar 4-5 %,INCORRECT,PRC
Wikipedia,"Berbeda halnya dengan pendidikan bahasa cirebon, pendidikan bahasa betawi di wilayah Provinsi Jawa Barat mengalami hal yang lebih parah dari masalah yang dialami oleh bahasa cirebon, pendidikan Bahasa Betawi hingga tahun 2011 (delapan tahun setelah Perda Jawa Barat No.",pendidikan bahasa betawi di wilayah Provinsi Jawa Barat,tahun setelah Perda Jawa Barat No,delapan tahun,INCORRECT,QTY
Wikipedia,Jawa Barat terdiri atas 18 kabupaten dan 9 kota.,Jawa Barat,jumlah kabupaten,18,CORRECT,CRD
Wikipedia,Jawa Barat terdiri atas 18 kabupaten dan 9 kota.,Jawa Barat,jumlah kota,9,CORRECT,CRD
Wikipedia,Jawa Barat memiliki 91 wakil di DPR RI dari 11 daerah pemilihan dan empat wakil di DPD.,Jawa Barat,jumlah wakil di DPR RI,91,CORRECT,CRD
Wikipedia,Jawa Barat memiliki 91 wakil di DPR RI dari 11 daerah pemilihan dan empat wakil di DPD.,Jawa Barat,jumlah daerah pemilihan,11,CORRECT,CRD
Wikipedia,Jawa Barat memiliki 91 wakil di DPR RI dari 11 daerah pemilihan dan empat wakil di DPD.,Jawa Barat,jumlah wakil di DPD,empat,CORRECT,CRD
Wikipedia,Kota ini memiliki penduduk sekitar 450.000 jiwa (2002).,Kota ini,penduduk,sekitar 450.000 jiwa,CORRECT,QTY
Wikipedia,"Kota ini merupakan salah satu tujuan wisatawan dunia, menarik 13 juta pengunjung setiap tahun.",Kota ini,jumlah menarik,13 juta,INCORRECT,CRD
Wikipedia,"Reruntuhan ini beserta tembok batunya meliputi wilayah sepanjang 1,5 km dan selebar 0,5 km dan terdiri dari sekitar 100 pulau buatan.",Reruntuhan ini,wilayah sepanjang,"1,5 km",INCORRECT,QTY
Wikipedia,"Reruntuhan ini beserta tembok batunya meliputi wilayah sepanjang 1,5 km dan selebar 0,5 km dan terdiri dari sekitar 100 pulau buatan.",Reruntuhan ini,selebar,"0,5 km",INCORRECT,QTY
Wikipedia,"Reruntuhan ini beserta tembok batunya meliputi wilayah sepanjang 1,5 km dan selebar 0,5 km dan terdiri dari sekitar 100 pulau buatan.",Reruntuhan ini,jumlah pulau buatan,sekitar 100,INCORRECT,CRD
Wikipedia,"Nan Madol merupakan pusat upacara dan politik Dinasti Saudeleur, yang menyatukan sekitar 25.000 penduduk Pohnpei sampai kira-kira tahun 1628.",Nan Madol,jumlah penduduk Pohnpei sampai kira-kira tahun,sekitar 25.000,INCORRECT,CRD
Wikipedia,"Jumlah penduduk ditaksir tidak melebihi 1.000 orang, kemungkinan malah kurang dari separuhnya.",Jumlah penduduk,jumlah orang,1,INCORRECT,CRD
Wikipedia,Nan Madol dikelilingi tembok raksasa yang diperkirakan tersusun dari 250.000.000 batu.,Nan Madol,jumlah batu,250.000.000,CORRECT,CRD
Wikipedia,Struktur bangunan di sana pun dibangun dari batu-batu monolit seberat 5 sampai 50 ton yang kemungkinan besar didatangkan dari pulau-pulau di sekitarnya.,Struktur bangunan di sana,batu-batu monolit seberat,5 sampai 50 ton,CORRECT,QTY
Wikipedia,Setiap metode yang dicoba hanya mampu memindahkan batu dengan berat tak lebih dari beberapa ton saja.,metode,batu dengan berat,lebih dari beberapa ton,INCORRECT,QTY
Wikipedia,Benua Amerika adalah benua terbesar ke 2 di dunia setelah Benua Asia .Luas wilayahnya ± 42.292.000 Km².,Benua Amerika,jumlah benua terbesar,2,INCORRECT,CRD
Wikipedia,"Benua ini umumnya dibagi menjadi 3 yaitu Amerika Utara, Amerika Tengah, dan Amerika Selatan.",Benua ini umumnya,jumlah menjadi,3,INCORRECT,CRD
Wikipedia,"Secara astronomis, Benua Amerika terletak antara 83° LU - 55° LS dan 170° BT - 35° BB.",Benua Amerika,LU - 55° LS,170° BT - 35° BB,INCORRECT,QTY
Wikipedia,"Uni Afrika, disingkat UA (bahasa Inggris: African Union, disingkat AU) adalah sebuah uni yang terdiri dari 54 negara Afrika.",Uni Afrika,jumlah negara Afrika,54,CORRECT,CRD
Wikipedia,Provinsi ini memiliki dua kota yaitu Kota Bandar Lampung dan Kota Metro serta 13 kabupaten.,Provinsi ini,jumlah kota yaitu Kota Bandar Lampung dan Kota Metro,dua,INCORRECT,CRD
Wikipedia,Provinsi ini memiliki dua kota yaitu Kota Bandar Lampung dan Kota Metro serta 13 kabupaten.,Provinsi ini,jumlah kabupaten,13,CORRECT,CRD
Wikipedia,"Provinsi Lampung memiliki pelabuhan utama bernama Pelabuhan Panjang dan Pelabuhan Bakauheni, bandar udara utama yakni Radin Inten II terletak 28 km dari ibu kota provinsi, serta Stasiun Tanjungkarang di pusat ibukota.",Provinsi Lampung,ibu kota provinsi,28 km,INCORRECT,QTY
Wikipedia,"Hal ini dijelaskan dalam buku ""The Sultanate of Banten"" karya Claude Guillot pada halaman 19 sebagai berikut:",Hal ini,jumlah karya Claude Guillot pada halaman,19,INCORRECT,CRD
Wikipedia,Dengan demikian jelas hubungan Banten-Lampung adalah dalam hubungan saling membutuhkan satu dengan lainnya.,hubungan Banten-Lampung,jumlah membutuhkan,satu,INCORRECT,CRD
Wikipedia,"Pada masa itu, sejak tahun 1817 posisi Radin Inten, pejuang perlawanan Lampung semakin kuat yang membuat Belanda merasa khawatir dan mengirimkan ekspedisi kecil dipimpin oleh Asisten Residen Krusemen yang menghasilkan persetujuan bahwa:Radin Inten memperoleh bantuan keuangan dari Belanda sebesar f. 1.200 setahun.Kedua saudara Radin Inten masing-masing akan memperoleh bantuan pula sebesar f. 600 tiap tahun.Radin Inten tidak diperkenankan meluaskan lagi wilayah selain dari desa-desa yang sampai saat itu berada di bawah pengaruhnya.",Radin Inten,jumlah setahun.Kedua saudara Radin Inten masing-masing,1.2,INCORRECT,CRD
Wikipedia,"Pada masa itu, sejak tahun 1817 posisi Radin Inten, pejuang perlawanan Lampung semakin kuat yang membuat Belanda merasa khawatir dan mengirimkan ekspedisi kecil dipimpin oleh Asisten Residen Krusemen yang menghasilkan persetujuan bahwa:Radin Inten memperoleh bantuan keuangan dari Belanda sebesar f. 1.200 setahun.Kedua saudara Radin Inten masing-masing akan memperoleh bantuan pula sebesar f. 600 tiap tahun.Radin Inten tidak diperkenankan meluaskan lagi wilayah selain dari desa-desa yang sampai saat itu berada di bawah pengaruhnya.",Radin Inten,bantuan pula sebesar,f. 600 tiap tahun.Radin Inten,INCORRECT,MON
Wikipedia,Way Seputih mengalir di daerah kabupaten Lampung Tengah dengan anak-anak sungai yang panjangnya lebih dari 50 km adalah:,Way Seputih,daerah kabupaten Lampung Tengah dengan anak-anak sungai yang panjangnya,lebih dari 50 km,INCORRECT,QTY
Wikipedia,"Way Tulangbawang mengalir di kabupaten Tulangbawang dengan anak-anak sungai yang lebih dari 50 km panjangnya, di antaranya:",Way Tulangbawang,panjangnya,lebih dari 50 km,INCORRECT,QTY
Wikipedia,"Way Mesuji yang mengalir di perbatasan provinsi Lampung dan Sumatra Selatan di sebelah utara mempunyai anak sungai bernama Sungai Buaya, sepanjang 70 km dengan c.a.",Way Mesuji,sepanjang,70 km,INCORRECT,QTY
Wikipedia,"Beberapa kota di daerah provinsi Lampung yang tingginya 50 m lebih dari permukaan laut adalah: Tanjungkarang (96 m), Kedaton (100 m), Metro (53), Gisting (480 m), Negeri sakti (100 m), Pringsewu (50 m), Pekalongan (50 m), Batanghari (65 m), Punggur (50 m), Padang ratu (56 m), Wonosobo (50 m), Kedondong (80 m), Sidomulyo (75 m), Kasui (200 m), Sri Menanti (320 m) dan Kota Liwa (850 m).",kota di daerah provinsi Lampung,jumlah m,50,INCORRECT,CRD
Wikipedia,"Beberapa kota di daerah provinsi Lampung yang tingginya 50 m lebih dari permukaan laut adalah: Tanjungkarang (96 m), Kedaton (100 m), Metro (53), Gisting (480 m), Negeri sakti (100 m), Pringsewu (50 m), Pekalongan (50 m), Batanghari (65 m), Punggur (50 m), Padang ratu (56 m), Wonosobo (50 m), Kedondong (80 m), Sidomulyo (75 m), Kasui (200 m), Sri Menanti (320 m) dan Kota Liwa (850 m).",kota di daerah provinsi Lampung,Tanjungkarang,"96 m ) , Kedaton ( 100 m ) , Metro ( 53 ) , Gisting ( 480 m",INCORRECT,QTY
Wikipedia,"Beberapa kota di daerah provinsi Lampung yang tingginya 50 m lebih dari permukaan laut adalah: Tanjungkarang (96 m), Kedaton (100 m), Metro (53), Gisting (480 m), Negeri sakti (100 m), Pringsewu (50 m), Pekalongan (50 m), Batanghari (65 m), Punggur (50 m), Padang ratu (56 m), Wonosobo (50 m), Kedondong (80 m), Sidomulyo (75 m), Kasui (200 m), Sri Menanti (320 m) dan Kota Liwa (850 m).",kota di daerah provinsi Lampung,Tanjungkarang,"100 m ) , Pringsewu ( 50 m ) , Pekalongan ( 50 m ) , Batanghari ( 65 m ) , Punggur ( 50 m ) , Padang ratu ( 56 m ) , Wonosobo ( 50 m ) , Kedondong ( 80 m ) , Sidomulyo ( 75 m ) , Kasui ( 200 m",INCORRECT,QTY
Wikipedia,"Beberapa kota di daerah provinsi Lampung yang tingginya 50 m lebih dari permukaan laut adalah: Tanjungkarang (96 m), Kedaton (100 m), Metro (53), Gisting (480 m), Negeri sakti (100 m), Pringsewu (50 m), Pekalongan (50 m), Batanghari (65 m), Punggur (50 m), Padang ratu (56 m), Wonosobo (50 m), Kedondong (80 m), Sidomulyo (75 m), Kasui (200 m), Sri Menanti (320 m) dan Kota Liwa (850 m).",kota di daerah provinsi Lampung,Sri Menanti,320 m ),INCORRECT,QTY
Wikipedia,"Beberapa kota di daerah provinsi Lampung yang tingginya 50 m lebih dari permukaan laut adalah: Tanjungkarang (96 m), Kedaton (100 m), Metro (53), Gisting (480 m), Negeri sakti (100 m), Pringsewu (50 m), Pekalongan (50 m), Batanghari (65 m), Punggur (50 m), Padang ratu (56 m), Wonosobo (50 m), Kedondong (80 m), Sidomulyo (75 m), Kasui (200 m), Sri Menanti (320 m) dan Kota Liwa (850 m).",kota di daerah provinsi Lampung,Kota Liwa,850 m,INCORRECT,QTY
Wikipedia,Pabrik gula dapat menghasilkan produksi per tahun mencapai 600.000 ton oleh dua pabrik yaitu Gunung Madu Plantation dan Sugar Group.,Pabrik gula,mencapai,600.000 ton,INCORRECT,QTY
Wikipedia,Pabrik gula dapat menghasilkan produksi per tahun mencapai 600.000 ton oleh dua pabrik yaitu Gunung Madu Plantation dan Sugar Group.,Pabrik gula,jumlah pabrik yaitu Gunung Madu Plantation dan Sugar Group,dua,INCORRECT,CRD
Wikipedia,"Sejak 9 Maret 2019, Jalan Tol Bakauheni-Bandar Lampung-Terbanggi Besar telah beroperasi penuh, dari Bakauheni (Lampung Selatan) hingga Terbanggi Besar (Lampung Tengah) sepanjang 140 kilometer.",Jalan Tol Bakauheni-Bandar Lampung-Terbanggi Besar,sepanjang,140 kilometer,CORRECT,QTY
Wikipedia,"Jalan tol ini, nantinya akan terdiri dari tiga kawasan ruas tol.",Jalan tol ini,jumlah kawasan ruas tol,tiga,CORRECT,CRD
Wikipedia,"Kawasan ruas tol Bakauheni-Terbangi besar diperkirakan dapat diselesaikan dalam empat tahun dengan pendanaan dari swasta, pemerintah, gabungan swasta maupun Pemerintah.",Kawasan ruas tol Bakauheni-Terbangi besar,diselesaikan,empat tahun,INCORRECT,QTY
Wikipedia,"Adapun biaya pembangunan ini, diprediksi mencapai Rp 53 triliun, termasuk pembebasan lahan dan konstruksi sekira Rp30 triliun.",biaya pembangunan ini,mencapai,Rp 53 triliun,CORRECT,MON
Wikipedia,"Bandar Udara utama adalah ""Radin Inten II"" yaitu nama baru dari ""Branti"", terletak 28 km dari ibu kota melalui jalan negara menuju Kotabumi.",Bandar Udara utama,ibu kota melalui jalan negara,28 km,INCORRECT,QTY
Wikipedia,"Ratusan trip feri penyeberangan dengan 24 buah kapal feri dari beberapa operator berlayar mengarungi Selat Sunda yang menghubungkan Bakauheni dengan Merak di Provinsi Banten, Pulau Jawa.",trip feri penyeberangan,jumlah kapal feri,24,CORRECT,CRD
Wikipedia,"Jalur kereta api Bandar Lampung – Palembang dengan 40 stasiun di sepanjang 387,872 km terbentang antara Stasiun Tanjungkarang (+96) di Bandar Lampung sampai Stasiun Kertapati (+2) di Palembang.",Jalur kereta api Bandar Lampung – Palembang,jumlah stasiun di sepanjang,40,CORRECT,CRD
Wikipedia,"Jalur kereta api Bandar Lampung – Palembang dengan 40 stasiun di sepanjang 387,872 km terbentang antara Stasiun Tanjungkarang (+96) di Bandar Lampung sampai Stasiun Kertapati (+2) di Palembang.",Jalur kereta api Bandar Lampung – Palembang,stasiun di sepanjang,"387,872 km",INCORRECT,QTY
Wikipedia,"Lampung merupakan provinsi multietnis dengan 3 besar suku mayoritas, yaitu Lampung, Jawa, dan Sunda, dimana Lampung merupakan suku asli di provinsi ini.",Lampung,jumlah suku mayoritas,3,CORRECT,CRD
Wikipedia,"""Leksikon Seniman Lampung"" (2005) menyebutkan tidak kurang dari 36 penyair/sastrawan Lampung yang meramaikan lembar-lembar sastra koran, jurnal dan majalah seantero negeri.",Leksikon Seniman Lampung,jumlah penyair/sastrawan Lampung,36,CORRECT,CRD
Wikipedia,"Lelaki muda Lampung lebih menyukai memakai kepiah/ketupung, yaitu tutup kepala berbentuk segi empat berwarna hitam terbuat dari kain tebal.",Lelaki muda Lampung,jumlah segi,empat,INCORRECT,CRD
Wikipedia,"Siger ini berlekuk ruji tajam berjumlah sembilan lekukan di depan dan di belakang (siger tarub), yang setiap lekukannya diberi hiasan bunga cemara dari kuningan (beringin tumbuh).",Siger ini,jumlah lekukan di depan dan di belakang,sembilan,CORRECT,CRD
Wikipedia,"Puncak siger diberi hiasan serenja bulan, yaitu kembang hias berupa mahkota berjumlah satu sampai tiga buah.",Puncak siger,jumlah buah,satu,INCORRECT,CRD
Wikipedia,"Puncak siger diberi hiasan serenja bulan, yaitu kembang hias berupa mahkota berjumlah satu sampai tiga buah.",Puncak siger,jumlah buah,tiga,INCORRECT,CRD
Wikipedia,"Praha adalah ibu kota Republik Ceko dan memiliki penduduk sekitar 1,5 juta jiwa.",Praha,jumlah jiwa,"sekitar 1,5 juta",CORRECT,CRD
Wikipedia,Bernard Bolzano menghitung total menara yang ada di Praha dengan sengaja dan hasilnya sebanyak 103 menara (tanpa menara pompa dan rumah pribadi yang terbanyak berada di Saint Vitus Cathedral yang berada di tengah Pražský Hrad (Prague Castle)) terdapat di Praha.,Bernard Bolzano,jumlah menara,103,INCORRECT,CRD
Wikipedia,Setelah dua setengah abad kemudian Vsyehrad berdiri.,abad kemudian Vsyehrad,berdiri,dua setengah abad,INCORRECT,QTY
Wikipedia,Dua tahun kemudian Ke-Uskupan Praha dinaikkan menjadi Ke-Uskupan Agung dan dimulainya pembangunan St. Vitus Katedral.,tahun kemudian Ke-Uskupan Praha,dinaikkan,Dua tahun,INCORRECT,QTY
Wikipedia,"Provinsi Papua memiliki luas 316.553,07 km dan merupakan provinsi terbesar dan terluas pertama di Indonesia",Provinsi Papua,luas,"316.553,07 km",CORRECT,QTY
Wikipedia,"Provinsi Papua memiliki luas sekitar 316.553,07 km, pulau Papua berada di ujung timur dari wilayah Indonesia, dengan potensi sumber daya alam yang bernilai ekonomis dan strategis, dan telah mendorong bangsa-bangsa asing untuk menguasai pulau Papua.",Provinsi Papua,luas,"sekitar 316.553,07 km",CORRECT,QTY
Wikipedia,"Pada tahun 1990 penduduk di pulau Papua berjumlah 1.648.708 jiwa dan meningkat menjadi sekitar 2,8 juta jiwa pada tahun 2006 dan 3.322.526 jiwa pada tahun 2018.",penduduk di pulau Papua,jumlah jiwa,1.648.708,CORRECT,CRD
Wikipedia,"Pada tahun 1990 penduduk di pulau Papua berjumlah 1.648.708 jiwa dan meningkat menjadi sekitar 2,8 juta jiwa pada tahun 2006 dan 3.322.526 jiwa pada tahun 2018.",penduduk di pulau Papua,jumlah jiwa pada tahun,"sekitar 2,8 juta",CORRECT,CRD
Wikipedia,"Pada tahun 1990 penduduk di pulau Papua berjumlah 1.648.708 jiwa dan meningkat menjadi sekitar 2,8 juta jiwa pada tahun 2006 dan 3.322.526 jiwa pada tahun 2018.",penduduk di pulau Papua,jumlah 3.322.526 jiwa pada tahun,3.322.526,INCORRECT,CRD
Wikipedia,"Dengan ketinggian 4.884 m, Puncak Jaya merupakan puncak tertinggi di Indonesia sekaligus di Oseania.",Puncak Jaya,ketinggian,4.884 m,CORRECT,QTY
Wikipedia,"Pada tahun 2003, disertai oleh berbagai protes (penggabungan Papua Tengah dan Papua Timur), Papua dibagi menjadi dua provinsi oleh pemerintah Indonesia; bagian timur tetap memakai nama ""Papua"" sedangkan bagian baratnya menjadi Provinsi ""Irian Jaya Barat"" (kemudian menjadi ""Papua Barat"").",Papua,jumlah provinsi oleh pemerintah Indonesia,dua,CORRECT,CRD
Wikipedia,"Populasi penduduk di antara kedua negara sebetulnya memiliki kekerabatan etnis, tetapi kemudian dipisahkan oleh sebuah garis perbatasan.",Populasi penduduk di antara,jumlah negara,kedua,INCORRECT,CRD
Wikipedia,"Papua memiliki luas area sekitar 421.981 kilometer persegi dengan jumlah populasi penduduk hanya sekitar 2,3 juta.",Papua,luas,sekitar 421.981 kilometer persegi,CORRECT,QTY
Wikipedia,"Papua memiliki luas area sekitar 421.981 kilometer persegi dengan jumlah populasi penduduk hanya sekitar 2,3 juta.",Papua,jumlah persegi dengan jumlah populasi penduduk,"sekitar 2,3 juta",INCORRECT,CRD
Wikipedia,Perbatasan antara Indonesia dengan Papua Nugini ditandai dengan 141 garis Bujur Timur yang memotong pulau Papua dari utara ke selatan.,Perbatasan antara Indonesia dengan Papua Nugini,jumlah garis Bujur Timur,141,CORRECT,CRD
Wikipedia,"Migrasi itu dimulai sejak 30.000 hingga 50.000 tahun yang lalu, dan mengakibatkan mereka berada di luar peradaban Indonesia yang modern, karena mereka tidak mungkin untuk melakukan pelayaran ke pulau-pulau lainnya yang lebih jauh.",Migrasi itu,dimulai,30.000 hingga 50.000 tahun,INCORRECT,QTY
Wikipedia,"Pada tahun 1963, dari sekitar 700.000 populasi penduduk yang ada, 500.000 di antara mereka berbicara dalam 200 macam bahasa yang berbeda dan tidak dipahami antara satu dengan yang lainnya.",500.000 di antara mereka,jumlah populasi penduduk,sekitar 700.000,INCORRECT,CRD
Wikipedia,"Pada tahun 1963, dari sekitar 700.000 populasi penduduk yang ada, 500.000 di antara mereka berbicara dalam 200 macam bahasa yang berbeda dan tidak dipahami antara satu dengan yang lainnya.",500.000 di antara mereka,jumlah berbicara,500,INCORRECT,CRD
Wikipedia,"Pada tahun 1963, dari sekitar 700.000 populasi penduduk yang ada, 500.000 di antara mereka berbicara dalam 200 macam bahasa yang berbeda dan tidak dipahami antara satu dengan yang lainnya.",500.000 di antara mereka,berbicara,200 macam bahasa,INCORRECT,QTY
Wikipedia,"Pada tahun 1963, dari sekitar 700.000 populasi penduduk yang ada, 500.000 di antara mereka berbicara dalam 200 macam bahasa yang berbeda dan tidak dipahami antara satu dengan yang lainnya.",500.000 di antara mereka,jumlah dipahami,satu,INCORRECT,CRD
Wikipedia,Banyak dari bahasa ini hanya digunakan oleh 50 penutur atau kurang.,bahasa ini,jumlah penutur,50,CORRECT,CRD
Wikipedia,"Beberapa golongan kecil sudah punah, seperti Tandia, yang hanya digunakan oleh dua pembicara dan Mapia yang hanya digunakan oleh satu pembicara.",golongan kecil,digunakan,dua pembicara,INCORRECT,QTY
Wikipedia,"Beberapa golongan kecil sudah punah, seperti Tandia, yang hanya digunakan oleh dua pembicara dan Mapia yang hanya digunakan oleh satu pembicara.",golongan kecil,jumlah pembicara,satu,INCORRECT,CRD
Wikipedia,Luasnya mencapai 890.000 km (ini jika digabung dengan Papua New Guinea).,Luasnya,mencapai,890.000 km,INCORRECT,QTY
Wikipedia,Besarnya diperkirakan hampir lima kali luas pulau Jawa.,Besarnya,jumlah kali,hampir lima,INCORRECT,CRD
Wikipedia,"Pada sekitar tahun 200 M, ahli geografi bernama Klaudius Ptolemaeus (Ptolamy) menyebut pulau Papua dengan nama Labadios.",ahli geografi,menyebut,sekitar tahun 200 M,INCORRECT,QTY
Wikipedia,"Selanjutnya, pada akhir tahun 600 M, Kerajaan Sriwijaya menyebut nama Papua dengan menggunakan nama ""Janggi"".",Kerajaan Sriwijaya,akhir tahun,600 M,INCORRECT,QTY
Wikipedia,"Di awal tahun 700 M, pedagang Persia dan Gujarat mulai berdatangan ke Papua, juga termasuk pedagang dari India.",pedagang Persia dan Gujarat,awal tahun,700 M,INCORRECT,QTY
Wikipedia,"Pada akhir tahun 1300 M, Kerajaan Majapahit menggunakan dua nama, yakni ""Wanin"" dan ""Sram"".",Kerajaan Majapahit,jumlah nama,dua,CORRECT,CRD
Wikipedia,"Ada kemungkinan, budak yang dibawa dan dipersembahkan kepada Majapahit berasal dari Onin dan yang membawanya ke sana adalah orang Seram dari Maluku, sehingga dua nama ini disebut.""""",budak,jumlah nama ini,dua,INCORRECT,CRD
Wikipedia,"Ekspedisi ini terdiri atas 3 kapal, dimana mereka berlayar dari pantai Utara Jawa dan singgah di Kepulauan Kei, Aru pantai Barat Daya Papua, dan mengenalnya sebagai Papua dari Jorge de Menetes.",Ekspedisi ini,terdiri,3 kapal,CORRECT,QTY
Wikipedia,"Sebagai usaha untuk memperkuat kedudukannya di Papua, pada tahun 1770, Belanda mengubah nama Irian Barat menjadi ""Nieuw Guinea"" yang merupakan terjemahan ke dalam bahasa Belanda atas ""Gova Guinea"" atau ""Nova Guinea"" dan diterbitkan dalam peta internasional yang diterbitkan oleh Isaac Tiron, seorang pembuat peta berkebangsaan Belanda pada abad ke 18.",Belanda,jumlah Belanda pada abad,18,INCORRECT,CRD
Wikipedia,"van Delden atas nama Raja Willem I, sebagai penanda mulainya kolonialisme Belanda di Papua dengan diwujudkannya kerjasama dalam bentuk penandatanganan surat perjanjian dengan tiga raja yaitu Raja Namatote, Kasa (Raja Lokaijhia) dan Lutu (orang kaya di Lobo, Mewara dan Sendawan).",van Delden atas nama Raja Willem I,jumlah raja yaitu Raja Namatote,tiga,INCORRECT,CRD
Wikipedia,Nama Irian adalah satu nama yang mengandung arti politik.,Nama Irian,jumlah nama,satu,INCORRECT,CRD
Wikipedia,"Sedangkan United Nations Temporary Executive Authority (UNTEA), sebuah badan khusus yang dibentuk PBB untuk menyiapkan act free choice di Papua pada tahun 1969 menggunakan dua nama untuk Papua, West New Guinea/West Irian.",United Nations Temporary Executive Authority,jumlah nama untuk Papua,dua,CORRECT,CRD
Wikipedia,Dewan Perwakilan Rakyat Papua (DPRP) memiliki 52 orang anggota.,Dewan Perwakilan Rakyat Papua,jumlah orang anggota,52,CORRECT,CRD
Wikipedia,"Di Negara Indonesia, Provinsi DKI Jakarta memiliki IPM tertinggi yaitu sebesar 77.60 pada tahun 2010.",Provinsi DKI Jakarta,jumlah memiliki,77.6,INCORRECT,CRD
Wikipedia,"Hal ini dapat diakibatkan bahwa kurangnya peranan pemerintah untuk meningkatkan pembangunan masyarakat terhadap ketiga dibidang yaitu: pendidikan, ekonomi, dan kesehatan pada Provinsi Papua.",Hal ini,jumlah pembangunan masyarakat,ketiga,INCORRECT,CRD
Wikipedia,"Sejak akhir 1999, LPMAK telah menyediakan beasiswa bagi 8.772 pelajar.",LPMAK,jumlah beasiswa bagi 8.772 pelajar,8.772,INCORRECT,CRD
Wikipedia,Program ini awalnya diperuntukan hanya kepada 3.697 pelajar dari SMA asli Papua sampai dengan program magister telah lulus.,Program ini,jumlah pelajar dari SMA asli Papua sampai dengan program magister,3.697,CORRECT,CRD
Wikipedia,Akibatnya PTFI menurunkan dana kemitraan dari sebelumnya yang rata-rata sekitar Rp 1 triliun menjadi sekitar Rp600 miliar.,Akibatnya PTFI,dana kemitraan dari sebelumnya yang rata-rata,sekitar Rp 1 triliun,INCORRECT,MON
Wikipedia,Akibatnya PTFI menurunkan dana kemitraan dari sebelumnya yang rata-rata sekitar Rp 1 triliun menjadi sekitar Rp600 miliar.,Akibatnya PTFI,menjadi,sekitar Rp600 miliar,INCORRECT,MON
Wikipedia,"Provinsi Papua merupakan salah satu provinsi terkaya di Indonesia dengan luas wilayahnya lebih tiga kali luas pulau Jawa, ditambah jumlah penduduk yang masih sedikit dengan kekayaan alam begitu kaya dan belum digali seperti hasil hutan, perkebunan, pertanian, perikanan pertambangan.",Provinsi Papua,jumlah kali,lebih tiga,INCORRECT,CRD
